EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
115,Alexander,Khoo,AKHOO@att.com,7181010992,2003-05-18,PU_CLERK,3100.00,0.00,114,30
116,Shelli,Baida,SBAIDA@yahoo.com,6769840975,2005-12-24,PU_CLERK,2900.00,0.00,114,30
117,Sigal,Tobias,STOBIAS@gmail.org,3979207822,2005-07-24,PU_CLERK,2800.00,0.00,114,30
118,Guy,Himuro,GHIMURO@comcast.gov,1372819733,2006-11-15,PU_CLERK,2600.00,0.00,114,30
119,Karen,Colmenares,KCOLMENA@outlook.edu,2221723158,2007-08-10,PU_CLERK,2500.00,0.00,114,30
120,Matthew,Weiss,MWEISS@outlook.edu,7656516858,2004-07-18,ST_MAN,8000.00,0.00,100,50
121,Adam,Fripp,AFRIPP@charter.org,8313757385,2005-04-10,ST_MAN,8200.00,0.00,100,50
122,Payam,Kaufling,PKAUFLIN@verizon.net,6194611888,2003-05-01,ST_MAN,7900.00,0.00,100,50
123,Shanta,Vollman,SVOLLMAN@aol.gov,1296788938,2005-10-10,ST_MAN,6500.00,0.00,100,50
124,Kevin,Mourgos,KMOURGOS@comcast.net,9224995900,2007-11-16,ST_MAN,5800.00,0.00,100,50
125,Julia,Nayer,JNAYER@outlook.com,1683808011,2005-07-16,ST_CLERK,3200.00,0.00,120,50
126,Irene,Mikkilineni,IMIKKILI@verizon.org,9448078411,2006-09-28,ST_CLERK,2700.00,0.00,120,50
127,James,Landry,JLANDRY@outlook.com,3716105204,2007-01-14,ST_CLERK,2400.00,0.00,120,50
128,Steven,Markle,SMARKLE@aol.net,3431859611,2008-03-08,ST_CLERK,2200.00,0.00,120,50
129,Laura,Bissot,LBISSOT@verizon.net,2857814523,2005-08-20,ST_CLERK,3300.00,0.00,121,50
130,Mozhe,Atkinson,MATKINSO@mail.gov,7363984500,2005-10-30,ST_CLERK,2800.00,0.00,121,50
131,James,Marlow,JAMRLOW@verizon.net,3818950192,2005-02-16,ST_CLERK,2500.00,0.00,121,50
132,TJ,Olson,TJOLSON@yahoo.edu,9590886201,2007-04-10,ST_CLERK,2100.00,0.00,121,50
133,Jason,Mallin,JMALLIN@yahoo.edu,8468284092,2004-06-14,ST_CLERK,3300.00,0.00,122,50
134,Michael,Rogers,MROGERS@att.edu,4540406460,2006-08-26,ST_CLERK,2900.00,0.00,122,50
135,Ki,Gee,KGEE@verizon.edu,5714810501,2007-12-12,ST_CLERK,2400.00,0.00,122,50
136,Hazel,Philtanker,HPHILTAN@verizon.com,4532033937,2008-02-06,ST_CLERK,2200.00,0.00,122,50
137,Renske,Ladwig,RLADWIG@yahoo.com,9642383209,2003-07-14,ST_CLERK,3600.00,0.00,123,50
138,Stephen,Stiles,SSTILES@aol.com,1184548805,2005-10-26,ST_CLERK,3200.00,0.00,123,50
139,John,Seo,JSEO@verizon.gov,8413816653,2006-02-12,ST_CLERK,2700.00,0.00,123,50
140,Joshua,Patel,JPATEL@att.com,4954412981,2006-04-06,ST_CLERK,2500.00,0.00,123,50
141,Trenna,Rajs,TRAJS@msn.net,2815628705,2003-10-17,ST_CLERK,3500.00,0.00,124,50
142,Curtis,Davies,CDAVIES@yahoo.org,1647009622,2005-01-29,ST_CLERK,3100.00,0.00,124,50
143,Randall,Matos,RMATOS@yahoo.gov,2083362290,2006-03-15,ST_CLERK,2600.00,0.00,124,50
144,Peter,Vargas,PVARGAS@aol.gov,7679545323,2006-07-09,ST_CLERK,2500.00,0.00,124,50
145,John,Russell,JRUSSEL@aol.net,5820430280,2004-10-01,SA_MAN,14000.00,0.40,100,80
146,Karen,Partners,KPARTNER@mail.gov,4529181193,2005-01-05,SA_MAN,13500.00,0.30,100,80
147,Alberto,Errazuriz,AERRAZUR@charter.edu,7497807199,2005-03-10,SA_MAN,12000.00,0.30,100,80
148,Gerald,Cambrault,GCAMBRAU@outlook.net,8972419607,2007-10-15,SA_MAN,11000.00,0.30,100,80
149,Eleni,Zlotkey,EZLOTKEY@outlook.gov,6671617309,2008-01-29,SA_MAN,10500.00,0.20,100,80
150,Peter,Tucker,PTUCKER@comcast.gov,3356046835,2005-01-30,SA_REP,10000.00,0.30,145,80
151,David,Bernstein,DBERNSTE@charter.org,2100461972,2005-03-24,SA_REP,9500.00,0.25,145,80
152,Peter,Hall,PHALL@att.com,8210301934,2005-08-20,SA_REP,9000.00,0.25,145,80
153,Christopher,Olsen,COLSEN@msn.com,3113817530,2006-03-30,SA_REP,8000.00,0.20,145,80
154,Nanette,Cambrault,NCAMBRAU@outlook.gov,8475597163,2006-12-09,SA_REP,7500.00,0.20,145,80
155,Oliver,Tuvault,OTUVAULT@comcast.com,1602231362,2007-11-23,SA_REP,7000.00,0.15,145,80
156,Janette,King,JKING@mail.edu,2573077365,2004-01-30,SA_REP,10000.00,0.35,146,80
157,Patrick,Sully,PSULLY@comcast.gov,1607544317,2004-03-04,SA_REP,9500.00,0.35,146,80
158,Allan,McEwen,AMCEWEN@yahoo.net,1535778329,2004-08-01,SA_REP,9000.00,0.35,146,80
159,Lindsey,Smith,LSMITH@charter.net,5643188260,2005-03-10,SA_REP,8000.00,0.30,146,80
160,Louise,Doran,LDORAN@gmail.gov,2446904549,2005-12-15,SA_REP,7500.00,0.30,146,80
161,Sarath,Sewall,SSEWALL@att.com,8011258936,2006-11-03,SA_REP,7000.00,0.25,146,80
162,Clara,Vishney,CVISHNEY@att.org,6854141813,2005-11-11,SA_REP,10500.00,0.25,147,80
163,Danielle,Greene,DGREENE@msn.net,9621638083,2007-03-19,SA_REP,9500.00,0.15,147,80
164,Mattea,Marvins,MMARVINS@verizon.org,2353867929,2008-01-24,SA_REP,7200.00,0.10,147,80
165,David,Lee,DLEE@mail.net,4811959680,2008-02-23,SA_REP,6800.00,0.10,147,80
166,Sundar,Ande,SANDE@verizon.gov,1295233091,2008-03-24,SA_REP,6400.00,0.10,147,80
167,Amit,Banda,ABANDA@outlook.com,1916312180,2008-04-21,SA_REP,6200.00,0.10,147,80
168,Lisa,Ozer,LOZER@att.net,6333084613,2005-03-11,SA_REP,11500.00,0.25,148,80
169,Harrison,Bloom,HBLOOM@charter.gov,5514436756,2006-03-23,SA_REP,10000.00,0.20,148,80
170,Tayler,Fox,TFOX@msn.org,3302122703,2006-01-24,SA_REP,9600.00,0.20,148,80
171,William,Smith,WSMITH@yahoo.gov,3653347375,2007-02-23,SA_REP,7400.00,0.15,148,80
172,Elizabeth,Bates,EBATES@gmail.org,7709233114,2007-03-24,SA_REP,7300.00,0.15,148,80
173,Sundita,Kumar,SKUMAR@mail.net,3311062942,2008-04-21,SA_REP,6100.00,0.10,148,80
174,Ellen,Abel,EABEL@verizon.com,5352649911,2004-05-11,SA_REP,11000.00,0.30,149,80
175,Alyssa,Hutton,AHUTTON@comcast.com,4165262816,2005-03-19,SA_REP,8800.00,0.25,149,80
176,Jonathon,Taylor,JTAYLOR@outlook.gov,5972377789,2006-03-24,SA_REP,8600.00,0.20,149,80
177,Jack,Livingston,JLIVINGS@msn.edu,9211629686,2006-04-23,SA_REP,8400.00,0.20,149,80
178,Kimberely,Grant,KGRANT@comcast.net,2430105960,2007-05-24,SA_REP,7000.00,0.15,149,0
179,Charles,Johnson,CJOHNSON@outlook.gov,4267269049,2008-01-04,SA_REP,6200.00,0.10,149,80
180,Winston,Taylor,WTAYLOR@charter.edu,2396481566,2006-01-24,SH_CLERK,3200.00,0.00,120,50
181,Jean,Fleaur,JFLEAUR@aol.net,7536757206,2006-02-23,SH_CLERK,3100.00,0.00,120,50
182,Martha,Sullivan,MSULLIVA@charter.gov,4501819197,2007-06-21,SH_CLERK,2500.00,0.00,120,50
183,Girard,Geoni,GGEONI@aol.com,1525586850,2008-02-03,SH_CLERK,2800.00,0.00,120,50
184,Nandita,Sarchand,NSARCHAN@aol.com,5463975279,2004-01-27,SH_CLERK,4200.00,0.00,121,50
185,Alexis,Bull,ABULL@charter.edu,9502297617,2005-02-20,SH_CLERK,4100.00,0.00,121,50
186,Julia,Dellinger,JDELLING@att.edu,5912522633,2006-06-24,SH_CLERK,3400.00,0.00,121,50
187,Anthony,Cabrio,ACABRIO@charter.gov,9409135894,2007-02-07,SH_CLERK,3000.00,0.00,121,50
188,Kelly,Chung,KCHUNG@outlook.org,6523072892,2005-06-14,SH_CLERK,3800.00,0.00,122,50
189,Jennifer,Dilly,JDILLY@msn.com,7806384903,2005-08-13,SH_CLERK,3600.00,0.00,122,50
190,Timothy,Gates,TGATES@gmail.net,5006665795,2006-07-11,SH_CLERK,2900.00,0.00,122,50
191,Randall,Perkins,RPERKINS@verizon.gov,6986383274,2007-12-19,SH_CLERK,2500.00,0.00,122,50
192,Sarah,Bell,SBELL@charter.net,2635543745,2004-02-04,SH_CLERK,4000.00,0.00,123,50
193,Britney,Everett,BEVERETT@gmail.edu,2647679614,2005-03-03,SH_CLERK,3900.00,0.00,123,50
194,Samuel,McCain,SMCCAIN@msn.gov,9068490019,2006-07-01,SH_CLERK,3200.00,0.00,123,50
195,Vance,Jones,VJONES@comcast.net,7735025179,2007-03-17,SH_CLERK,2800.00,0.00,123,50
196,Alana,Walsh,AWALSH@msn.org,8116694232,2006-04-24,SH_CLERK,3100.00,0.00,124,50
197,Kevin,Feeney,KFEENEY@charter.edu,9250526797,2006-05-23,SH_CLERK,3000.00,0.00,124,50
198,Donald,OConnell,DOCONNEL@comcast.gov,7116630835,2007-06-21,SH_CLERK,2600.00,0.00,124,50
199,Douglas,Grant,DGRANT@verizon.edu,8771783381,2008-01-13,SH_CLERK,2600.00,0.00,124,50
200,Jennifer,Whalen,JWHALEN@charter.com,8216253448,2003-09-17,AD_ASST,4400.00,0.00,101,10
201,Michael,Hartstein,MHARTSTE@yahoo.gov,1867430433,2004-02-17,MK_MAN,13000.00,0.00,100,20
202,Pat,Fay,PFAY@verizon.com,2322743618,2005-08-17,MK_REP,6000.00,0.00,201,20
203,Susan,Mavris,SMAVRIS@charter.net,7585788324,2002-06-07,HR_REP,6500.00,0.00,101,40
204,Hermann,Baer,HBAER@msn.net,5832127256,2002-06-07,PR_REP,10000.00,0.00,101,70
205,Shelley,Higgins,SHIGGINS@gmail.org,6455550986,2002-06-07,AC_MGR,12008.00,0.00,101,110
206,William,Gietz,WGIETZ@yahoo.org,7406571261,2002-06-07,AC_ACCOUNT,8300.00,0.00,205,110
